label,value
"Bangued  
                        ",1
"Boliney  
                        ",2
"Bucay  
                        ",3
"Bucloc  
                        ",4
"Daguioman  
                        ",5
"Danglas  
                        ",6
"Dolores  
                        ",7
"La Paz  
                        ",8
"Lacub  
                        ",9
"Lagangilang  
                        ",10
"Lagayan  
                        ",11
"Langiden  
                        ",12
"Licuan-Baay  
                        ",13
"Luba  
                        ",14
"Malibcong  
                        ",15
"Manabo  
                        ",16
"Peñarrubia  
                        ",17
"Pidigan  
                        ",18
"Pilar  
                        ",19
"Sallapadan  
                        ",20
"San Isidro  
                        ",21
"San Juan  
                        ",22
"San Quintin  
                        ",23
"Tayum  
                        ",24
"Tineg  
                        ",25
"Tubo  
                        ",26
"Villaviciosa  
                        ",27
"Butuan City  
                        ",28
"Buenavista  
                        ",29
"Cabadbaran  
                        ",30
"Carmen  
                        ",31
"Jabonga  
                        ",32
"Kitcharao  
                        ",33
"Las Nieves  
                        ",34
"Magallanes  
                        ",35
"Nasipit  
                        ",36
"Remedios T. Romualdez  
                        ",37
"Santiago  
                        ",38
"Tubay  
                        ",39
"Bayugan  
                        ",40
"Bunawan  
                        ",41
"Esperanza  
                        ",42
"La Paz  
                        ",43
"Loreto  
                        ",44
"Prosperidad  
                        ",45
"Rosario  
                        ",46
"San Francisco  
                        ",47
"San Luis  
                        ",48
"Santa Josefa  
                        ",49
"Sibagat  
                        ",50
"Talacogon  
                        ",51
"Trento  
                        ",52
"Veruela  
                        ",53
"Altavas  
                        ",54
"Balete  
                        ",55
"Banga  
                        ",56
"Batan  
                        ",57
"Buruanga  
                        ",58
"Ibajay  
                        ",59
"Kalibo  
                        ",60
"Lezo  
                        ",61
"Libacao  
                        ",62
"Madalag  
                        ",63
"Makato  
                        ",64
"Malay  
                        ",65
"Malinao  
                        ",66
"Nabas  
                        ",67
"New Washington  
                        ",68
"Numancia  
                        ",69
"Tangalan  
                        ",70
"Legazpi City  
                        ",71
"Ligao City  
                        ",72
"Tabaco City  
                        ",73
"Bacacay  
                        ",74
"Camalig  
                        ",75
"Daraga  
                        ",76
"Guinobatan  
                        ",77
"Jovellar  
                        ",78
"Libon  
                        ",79
"Malilipot  
                        ",80
"Malinao  
                        ",81
"Manito  
                        ",82
"Oas  
                        ",83
"Pio Duran  
                        ",84
"Polangui  
                        ",85
"Rapu-Rapu  
                        ",86
"Santo Domingo  
                        ",87
"Tiwi  
                        ",88
"Anini-y  
                        ",89
"Barbaza  
                        ",90
"Belison  
                        ",91
"Bugasong  
                        ",92
"Caluya  
                        ",93
"Culasi  
                        ",94
"Hamtic  
                        ",95
"Laua-an  
                        ",96
"Libertad  
                        ",97
"Pandan  
                        ",98
"Patnongon  
                        ",99
"San Jose  
                        ",100
"San Remigio  
                        ",101
"Sebaste  
                        ",102
"Sibalom  
                        ",103
"Tibiao  
                        ",104
"Tobias Fornier  
                        ",105
"Valderrama  
                        ",106
"Calanasan  
                        ",107
"Conner  
                        ",108
"Flora  
                        ",109
"Kabugao  
                        ",110
"Luna  
                        ",111
"Pudtol  
                        ",112
"Santa Marcela  
                        ",113
"Baler  
                        ",114
"Casiguran  
                        ",115
"Dilasag  
                        ",116
"Dinalungan  
                        ",117
"Dingalan  
                        ",118
"Dipaculao  
                        ",119
"Maria Aurora  
                        ",120
"San Luis  
                        ",121
"Isabela City  
                        ",122
"Akbar  
                        ",123
"Al-Barka  
                        ",124
"Hadji Mohammad Ajul  
                        ",125
"Hadji Muhtamad  
                        ",126
"Lamitan  
                        ",127
"Lantawan  
                        ",128
"Maluso  
                        ",129
"Sumisip  
                        ",130
"Tabuan-Lasa  
                        ",131
"Tipo-Tipo  
                        ",132
"Tuburan  
                        ",133
"Ungkaya Pukan  
                        ",134
"Balanga City  
                        ",135
"Abucay  
                        ",136
"Bagac  
                        ",137
"Dinalupihan  
                        ",138
